param,base,distribution,p1,p2,description
n_hosp,1,constant,,,Number of hospitalized COVID-19 patients on day 1
hosp_prop,0.026,gamma,6.326832789,0.004168888,Proportion of infections requiring hospitalization
ICU_prop,0.37,beta,52.05931116,96.86741968,Proportion of hospitalizations admitted to ICU
vent_prop,0.28,beta,5.224029085,3.078885266,Proportion of ICU patients requiring ventilation
hosp_LOS,10,gamma,47.30432422,0.173610907,Hospital Length of Stay
ICU_LOS,10,gamma,26.48751881,0.341980487,ICU Length of Stay
vent_LOS,7,gamma,31.75035399,0.305511387,time on vent
mkt_share,0.75,constant,,,Hospital Market Share (%)
region_pop,1000000,constant,,,Regional Population
incubation_days,5,gamma,9.514379271,0.513980244,Days from exposure to infectiousness
recovery_days,7,gamma,9.833457434,1.642265575,Days from infection to recovery
logistic_k,1,gamma,4.018953794,0.22738215,logistic growth rate
logistic_x0,14,gamma,6.407435434,2.859728136,logistic days from beginning of time series to middle of logistic
logistic_L,0.5,beta,2,3,logistic depth of social distancing
nu,2.5,gamma,93.9552169,0.02634306,Networked contact structure power-law exponent
beta,0.33206426,beta,5,10,SEIR beta parameter (force of infection)
hosp_capacity,,constant,,,Hospital Bed Capacity
vent_capacity,,constant,,,Ventilator Capacity
sd_percent_change_current,1,constant,,,Percent change with current distancing measures
sd_percent_change_reduction_20,0.8,constant,,,Percent change with 20% reduction in distancing
