"date","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","variable","type"
2021-03-19,1,1.3,1.2,0,0,1,1,2,3,"reported_cases","estimate"
2021-03-20,25,25.2,5.2,17,22,24,26,29,34,"reported_cases","estimate"
2021-03-21,28,28.5,5.5,20,25,27,30,32,38,"reported_cases","estimate"
2021-03-22,29,29.4,5.5,21,26,28,31,33,39,"reported_cases","estimate"
2021-03-23,30,30.7,5.9,21,27,29,32,35,41,"reported_cases","estimate"
2021-03-24,30,30.6,5.8,21,27,29,32,34,40,"reported_cases","estimate"
2021-03-25,34,34.4,5.9,25,30.8,33,36,38,44,"reported_cases","estimate"
2021-03-26,41,41.4,6.7,31,37,39,43,46,53,"reported_cases","estimate"
2021-03-27,44,44,7,33,39,42,46,49,56,"reported_cases","estimate"
2021-03-28,46,46.2,7.3,34,41,44,48,51,58,"reported_cases","estimate"
2021-03-29,45,45.3,7,34,41,43,47,50,57,"reported_cases","estimate"
2021-03-30,47,47.6,7.3,36,43,46,49,52,60,"reported_cases","estimate"
2021-03-31,47,47,7.4,35,42,45,49,52,60,"reported_cases","estimate"
2021-04-01,56,55.9,8,44,50,54,58,61,70,"reported_cases","estimate"
2021-04-02,55,55.6,7.8,43,50,53,57,61,69,"reported_cases","estimate"
2021-04-03,59,59.4,8.4,47,53,57,61,65,74,"reported_cases","estimate"
2021-04-04,63,62.7,8.6,49,57,60,65,68,77,"reported_cases","estimate"
2021-04-05,64,64.4,8.6,50,59,62,67,70,79,"reported_cases","estimate"
2021-04-06,66,66.4,8.5,53,61,64,69,72,81,"reported_cases","estimate"
2021-04-07,68,68.3,8.9,54,62,66,70,74,83,"reported_cases","estimate"
2021-04-08,77,77.1,9.5,62.9,70,74,79,83,93,"reported_cases","estimate"
2021-04-09,85,85.4,10,69,78,83,88,92,102,"reported_cases","estimate"
2021-04-10,92,92,10.4,76,85,89,94,99,109,"reported_cases","estimate"
2021-04-11,95,94.5,10.8,77,87,92,97,102,112,"reported_cases","estimate"
2021-04-12,99,99,11,82,91,96,101,106,119,"reported_cases","estimate"
2021-04-13,98,98.4,10.9,81,91,95,101,105,117,"reported_cases","estimate"
2021-04-14,100,100.8,11.7,83,93,97,103,108,121,"reported_cases","estimate"
2021-04-15,102,102.3,11.2,85,95,99,105,110,121,"reported_cases","estimate"
2021-04-16,109,108.9,11.7,90,101,106,112,117,128,"reported_cases","estimate"
2021-04-17,117,116.9,12,98,108,113,120,125,137,"reported_cases","estimate"
2021-04-18,126,126.3,12.9,106,117,123,129,135,148,"reported_cases","estimate"
2021-04-19,120,120.4,12.5,101,112,117,123,129,142,"reported_cases","estimate"
2021-04-20,113,112.8,12.1,93,105,110,116,121,133,"reported_cases","estimate"
2021-04-21,112,112.8,12,93,105,110,116,121,133,"reported_cases","estimate"
