date,acute_care_census_OTT,ICU_census_OTT,death_census_OTT,hospital_total_census_OTT,deaths_total_OTT,hospitalized_total_OTT,discharged_total_OTT,admissions_daily_OTT,hospital_total_census_TOH,acute_care_census_TOH,ICU_census_TOH,death_census_OTT,discharged_total_TOH,deaths_total_TOH,admissions_daily_TOH,death_daily,census_total,,time,double_3,double_4,double_7
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-12,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-13,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,
2020-03-17,1,0,0,1,0,1,0,0,0,0,0,0,,0,,0,,,,,1,1
2020-03-18,0,0,0,0,0,1,1,0,0,0,0,0,,0,,0,,1,,,1.41,1.22
2020-03-19,1,0,0,1,0,1,1,0,0,0,0,0,,0,,0,,0,,,1.68,1.35
2020-03-20,2,0,0,2,0,3,1,2,0,0,0,0,,0,,0,,1,1,2.52,2,1.49
2020-03-21,4,0,0,4,0,6,2,3,0,0,0,0,,0,,0,,2,2,3.17,2.38,1.64
2020-03-22,4,0,0,4,0,6,3,0,0,0,0,0,,0,,0,,4,3,4,2.83,1.81
2020-03-23,5,1,0,6,0,9,3,3,4,4,0,0,,0,,0,,4,4,5.04,3.36,2
2020-03-24,2,2,1,5,1,10,4,1,6,4,2,1,,1,,1,,6,5,6.35,4,2.21
2020-03-25,3,4,0,7,1,13,5,3,5,2,3,0,,1,,0,,5,6,8,4.76,2.44
2020-03-26,10,7,0,17,1,24,6,11,8,3,5,0,,1,,0,725,7,7,10.08,5.66,2.69
2020-03-27,12,7,0,19,1,27,7,3,8,6,2,0,,1,,0,,17,8,12.7,6.73,2.97
2020-03-28,12,5,1,18,2,27,7,0,9,7,2,0,,1,,0,,19,9,16,8,3.28
2020-03-29,16,5,0,21,2,30,7,3,8,6,2,0,,1,,0,,18,10,20.16,9.51,3.62
2020-03-30,,,1,,3,,,,10,7,3,0,,1,,0,663,,11,,,
2020-03-31,18,7,0,25,3,,,,,,,,,,,,,,12,,,
2020-04-01,,,,,,,,,,,,,,,,,,,13,,,
2020-04-02,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,,,,,,,,,,,
