day,date,census_ICU_p_acute_care_current,census_ICU_current,census_vents_current,census_ICU_p_acute_care_50,census_ICU_50,census_vents_50,census_ICU_p_acute_care_70,census_ICU_70,census_vents_70,new_ICU_p_acute_care_current,new_ICU_current,new_vents_current,new_ICU_p_acute_care_50,new_ICU_50,new_vents_50,new_ICU_p_acute_care_70,new_ICU_70,new_vents_70
0,2020-04-30,37.25667122,13.75630937,8.202688843,39.34694265,14.5281019,8.789572743,40.7788953,15.05682288,8.765070683,3.122090951,1.152772044,0.876587075,3.917084959,1.446308293,1.099796931,2.442700076,0.901920028,0.685835021
1,2020-05-01,38.13488466,14.0805728,8.022713851,41.12088466,15.18309588,8.861090774,40.46127585,14.93954801,8.168915999,3.110392416,1.148452584,0.873302486,4.006120993,1.479183136,1.12479551,2.336389226,0.862666791,0.655986206
2,2020-05-02,38.57956297,14.24476171,7.640588922,42.56394247,15.71591722,8.759280089,39.54054092,14.59958434,7.307898914,3.098686982,1.144130578,0.87001596,4.097066482,1.512763009,1.150330204,2.234692493,0.825117228,0.627432892
3,2020-05-03,38.5111108,14.21948707,7.018866611,43.59847204,16.09789737,8.447241112,37.92655239,14.00365011,6.138803963,3.086975252,1.139806247,0.866727667,4.189956991,1.547061043,1.176411001,2.137410703,0.789197798,0.600119159
4,2020-05-04,37.83496939,13.96983485,6.113090275,44.1319013,16.29485586,7.881075003,35.5112257,13.11183718,4.610057918,3.075257824,1.135479812,0.863437774,4.284828493,1.582090521,1.203048,2.044353187,0.7548381,0.573991472
5,2020-05-05,36.4388248,13.45433531,6.090086966,44.05393877,16.2660697,8.059957656,32.16523443,11.87639425,4.409401087,3.063535295,1.131151494,0.860146448,4.381717356,1.61786487,1.230251411,1.955337422,0.721970741,0.548998584
6,2020-05-06,34.18930437,12.62374315,6.067071266,43.23327042,15.96305369,8.242664613,27.7341126,10.24028773,4.217454776,3.051808256,1.12682151,0.856853856,4.480660332,1.654397661,1.258031555,1.870188697,0.690531211,0.525091442
7,2020-05-07,30.92807114,11.4195955,6.044044354,41.51365444,15.32811856,8.429266537,22.03365026,8.135501636,4.033842847,3.040077292,1.122490077,0.853560163,4.581694553,1.691702604,1.286398855,1.788739781,0.660457765,0.502223092
8,2020-05-08,30.81094923,11.37635049,6.021007399,42.45391089,15.67529018,8.619834867,21.07447529,7.781344721,3.858205235,3.028342987,1.11815741,0.850265531,4.68485751,1.729793542,1.315363839,1.710830608,0.631691301,0.480348594
9,2020-05-09,30.69377317,11.33308548,5.997961562,43.41417472,16.02984913,8.814441795,20.15695017,7.442566218,3.690197275,3.016605918,1.113823723,0.846970123,4.79018705,1.768684449,1.344937133,1.63630798,0.604175254,0.459424933
