date,hosp_census_5_current,hosp_census_95_current,hosp_census_median_current,vent_census_5_current,vent_census_95_current,vent_census_median_current,hosp_admits_5_current,hosp_admits_95_current,hosp_admits_median_current,vent_admits_5_current,vent_admits_95_current,vent_admits_median_current,hosp_census_5_reduction_20,hosp_census_95_reduction_20,hosp_census_median_reduction_20,vent_census_5_reduction_20,vent_census_95_reduction_20,vent_census_median_reduction_20,hosp_admits_5_reduction_20,hosp_admits_95_reduction_20,hosp_admits_median_reduction_20,vent_admits_5_reduction_20,vent_admits_95_reduction_20,vent_admits_median_reduction_20,hosp_census_observed,vent_census_observed,hosp_admits_observed,vent_admits_observed
2020-03-24,0.280830476,0.480372948,0.382398104,0.050620976,0.163167213,0.11116126,0.280830476,0.480372948,0.382398104,0.050620976,0.163167213,0.11116126,0.27901403,0.476538517,0.380734693,0.049145069,0.158138791,0.110413793,0.27901403,0.476538517,0.380734693,0.049145069,0.158138791,0.110413793,6,0,,
2020-03-25,0.601757453,1.030062231,0.818829939,0.106017193,0.334613914,0.227699045,0.350684347,0.588915252,0.469571662,0.0621158,0.198453629,0.135882027,0.598935768,1.005729688,0.811684422,0.104054219,0.324678858,0.226143919,0.348362182,0.57797974,0.467729479,0.060277482,0.19428408,0.134563435,8,0,,
2020-03-26,0.976687127,1.667632698,1.315337992,0.169055748,0.524140223,0.353365656,0.438538738,0.730982474,0.576490096,0.075741145,0.246646468,0.165198809,0.976717141,1.635487675,1.309613989,0.166330008,0.505241176,0.351501907,0.437395161,0.712584608,0.574084797,0.07479224,0.241118312,0.164138799,8,0,,
2020-03-27,1.416635282,2.420695005,1.900662856,0.243914781,0.736438742,0.494869644,0.541305315,0.900014074,0.706017434,0.093577268,0.304879939,0.200188503,1.425417428,2.377156163,1.890814554,0.239341675,0.714860939,0.492354911,0.543374624,0.877327114,0.701874935,0.092482384,0.298797617,0.199254304,9,0,,
2020-03-28,1.949042981,3.324654839,2.586010737,0.331981169,0.980304134,0.655002631,0.669438722,1.115378308,0.861945475,0.114448636,0.376535185,0.244160492,1.961913049,3.256254199,2.570818646,0.322767969,0.958395934,0.647469824,0.668766596,1.082551387,0.85596936,0.112365241,0.367145342,0.242481714,9,0,,
2020-03-29,2.572139492,4.421464235,3.399241035,0.437591617,1.268875812,0.838315496,0.825302054,1.371420189,1.048965317,0.139311353,0.460199146,0.297147856,2.595351483,4.300778187,3.376496131,0.420030833,1.235237588,0.829780229,0.824754392,1.326916968,1.042111242,0.137915037,0.454714809,0.294745376,8,0,,
2020-03-30,3.337088221,5.723025282,4.370797277,0.560720053,1.605570556,1.058318395,1.005117726,1.663046436,1.281626719,0.170433167,0.56066775,0.361452807,3.340427501,5.538730121,4.339249345,0.540055325,1.570430172,1.043446331,1.006303478,1.616423983,1.272137722,0.169148711,0.551911193,0.359132085,11,0,,
2020-03-31,4.252027541,7.290410062,5.524734259,0.708951601,2.010597114,1.315388572,1.232308818,2.004286071,1.562365586,0.208783719,0.681737988,0.437228799,4.238982279,7.043564271,5.497647713,0.678528377,1.960068673,1.296842707,1.237088087,1.962741693,1.54891879,0.206313359,0.668218527,0.4359845,10,0,,
2020-04-01,5.348797016,9.136332458,6.93319051,0.89335107,2.475378734,1.617017158,1.506875927,2.3920976,1.896415747,0.254130416,0.823550631,0.529387296,5.340042581,8.836671897,6.893672227,0.854945103,2.430323724,1.607361332,1.514215072,2.362587075,1.883569014,0.251543303,0.806004601,0.526679772,10,0,,
2020-04-02,6.697782845,11.15212535,8.599709633,1.105021046,2.987213973,1.98642038,1.835400193,2.856341939,2.302770895,0.310038364,0.990725042,0.636878936,6.662370475,10.92072504,8.558680502,1.059389296,2.945861128,1.974593751,1.834332955,2.814299075,2.28160087,0.303618949,0.971935082,0.634792887,12,0,,
