key,en,fr
break,---,---
case_projections,## {#case-projections},## {#case-projections}
case_projections_text,Short-term COVID-19 projections are presented below. See [More](/more) for a discussion about model interpretation and [Methods](/model) for how the projections where created.,Les projections COVID-19 à court terme sont présentées ci-dessous. Voir [plus](/more) pour une discussion sur l'interprétation du modèle et [Méthodes](/model) pour savoir comment les projections ont été créées.
Contact,"**Media Contact:** Dr. Robert Delatolla [robert.delatolla@uottawa.ca](mailto:robert.delatolla@uottawa.ca) 

**Website or data issues?** Dr. Lakshmi Pisharody [lpisharo@uottawa.ca] (mailto:lpisharo@uottawa.ca)

**Acknowledgements for website and content:** Dr. Douglas Manuel, Warsame Yusuf, Rostyslav Vyuha, Yulric Sequeira, Gauri Saran, Mathew Thomson, and others on Big Life Lab team.

**Supporting Ottawa Public Health epidemiologists:** Amira Ali, Jacqueline Willmore, Dara Spatz

**uOttawa — CHEO SARS-CoV-2 research group:** Robert Delatolla, Alex MacKenzie, Patrick D'Aoust, Élisabeth Mercier, Antoine Cantin, Tyson Graber

**Computing infrastructure:** Indoc Research - Open Data Environment

**Colour consultant:** Toby Barker

**Attribution:** COVID-19 icons made by [surang](https://www.flaticon.com/authors/surang) from [www.flaticon.com](https://www.flaticon.com).","**Contact média :** Dr. Robert Delatolla [robert.delatolla@uottawa.ca](mailto:robert.delatolla@uottawa.ca)

**Problèmes du site web ou avec les données?** Dr. Lakshmi Pisharody (mailto:lpisharo@uottawa.ca)

**Remerciements pour le site Web et le contenu:** Dr. Douglas Manuel, Warsame Yusuf, Rostyslav Vyuha, Yulric Sequeira, Gauri Saran, Mathew Thomson et les autres membres de l’équipe de Big Life Lab.

**Avec le soutien des épidémiologistes de Santé publique Ottawa:** Amira Ali, Jacqueline Willmore, Dara Spatz

**Groupe de recherche uOttawa – CHEO SARS-CoV-2:** Robert Delatolla, Alex MacKenzie, Patrick D'Aoust, Élisabeth Mercier, Antoine Cantin, Tyson Graber.

**Infrastructure informatique:** Indoc Research - Open Data Environment

**Consultant couleur:** Toby Barker

**Attribution:** Les icônes de COVID-19 ont été créées par [surang](https://www.flaticon.com/authors/surang) de [www.flaticon.com](https://www.flaticon.com)."
Dashboard,"# Dashboard

Data to {{1}}

### Current

{{2}} **{{3}}** days

**{{4}}** confirmed COVID-19 patients in hospital.
 
Including **{{5}}** acute care patients. **{{6}}** ICU patients.","# Tableau de bord



Données en date du {{1}}



### Situation actuelle



{{2}} **{{3}}** days



**{{4}}** patient(s) atteint(s) de la COVID-19 sont hospitalisés.



De ce nombre : **{{5}}** patient(s) en soins actifs, **{{6}}** patient(s) aux soins intensifs."
Dashboard_HCWcovid,"# Dashboard

Data to {{1}}

### Current

{{2}} **{{3}}** days *

{{4}} **{{5}}** *

**{{6}}** confirmed COVID-19 patients in hospital.
 
Including **{{7}}** acute care patients. **{{8}}** ICU patients.

\* Based on COVID-19 cases among health care worker.","# Tableau de bord

Données en date du {{1}}

### Situation actuelle

{{2}} **{{3}}** jours *

{{4}} **{5}}** *

**{6}}** patients confirmés atteints de COVID-19 à l'hôpital.
 
Y compris les **{7}}** patients en soins aigus. **{8}}** patients en soins intensifs.

\* Basé sur les cas de COVID-19 parmi le personnel de santé."
"Dashed line represents the last date of observed cases.""","""Projections to {{1}}.""","""Projections à {{1}}."""
Death_text,**Note:** The number of deaths in the last 3-5 days may not reflect the actual number of COVID-19 deaths as case investigations are ongoing to determine earliest onset date.,**Remarque:** Il est possible que le nombre de décès des 3 à 5 derniers jours ne reflète pas le nombre réel de décès attribuables à la COVID-19 puisque certains cas sont encore à l’étude afin de déterminer la date la plus récente d’apparition.
death_title,## Past deaths {#death-visualization},## Décès antérieurs {#death-visualization}
Definitions,"## Definitions

> **Hospital count** is the count of patients in all Ottawa hospitals at midnight on the previous day. OPH counts and hospital counts reported from other sources may be different because:

> * Hospital counts from other sources may include people who do not reside in Ottawa;

> * Interpretation of clearance may vary between hospitals and OPH;

> * Interpretation of treated for COVID-19 and being treated primarily for COVID-19 may vary slightly; and

> * OPH workload may delay the clearance of hospitalizations in preference to reporting new ones by OPH when volumes are high.

> **Transmission** is the risk that a person becomes infected when they come in contact with a person with COVID-19.

> **Doubling time** refers to the time it takes for the number of hospitalized patients to double in number. Conversely, **halving time** refers to the time it takes for the number of hospitalized patients to halve in number.

> **Daily growth** is the rate of change in the hospitalization from day-to-day.

> **Physical distancing** is a reduction in close contact between people.

> **Wise socializing** is ensuring you don't become a link in a COVID-19 transmission chain that ends in a person becoming hospitalized or dying. This involves wearing a mask in indoor spaces, isolating yourself from others when sick, staying 2 meters apart from people outside your household, and exercising proper hand hygiene. Click [here](https://www.ottawapublichealth.ca/en/public-health-topics/be-covidwise.aspx) for more details on being COVIDWise.

See the [More](/more) page for more definitions and more information about the terms used.

---","## Définitions



> **Le recensement des hospitalisations** correspond au nombre de patients recensés dans l’ensemble des hôpitaux d’Ottawa à minuit, le jour précédent.



> **La transmission** désigne le risque qu’une personne devienne infectée si elle est en contact avec une personne atteinte de la COVID-19.



> **Le temps de doublement** correspond au temps nécessaire pour que le nombre de patients hospitalisés double. À l’inverse, **le temps de division** par deux indique le temps nécessaire pour que le nombre de patients hospitalisés diminue de moitié.



> **La croissance quotidienne** désigne le taux de variation du nombre d’hospitalisations jour après jour.



> **La distanciation physique** est la réduction du nombre de contacts étroits entre les personnes.



> **L’établissement avisé de contacts sociaux sécuritaire** consiste à éviter de devenir soi-même un maillon d’une chaîne de transmission de la COVID-19 qui entraînerait l’hospitalisation ou le décès de quelqu’un. Vous devez donc porter un masque à l’intérieur, vous isoler lorsque vous êtes malade, garder une distance de 2 mètres avec les autres qui ne font pas partie de votre ménage et bien vous laver les mains. En savoir plus pour être [COVID avisé](https://www.santepubliqueottawa.ca/fr/public-health-topics/be-covidwise.aspx).



Consultez la section [Plus](/more) d’infos pour en savoir plus sur les termes employés.



---"
