date,hosp,vent,mort
2020-07-07,1,,
2020-07-08,1,,
2020-07-09,2,,
2020-07-10,2,,
2020-07-11,2,,
2020-07-12,3,,
2020-07-13,3,,
2020-07-14,4,,
2020-07-15,5,,
2020-07-16,5,,
2020-07-17,5,,
2020-07-18,6,,
2020-07-19,6,,
2020-07-20,8,,
2020-07-21,8,,
2020-07-22,9,,
2020-07-23,10,,
2020-07-24,7,,
2020-07-25,7,,
2020-07-26,9,,
2020-07-27,10,,
2020-07-28,11,,
2020-07-29,12,,
2020-07-30,13,,
2020-07-31,14,,
2020-08-01,14,,
2020-08-02,14,,
2020-08-03,13,,
2020-08-04,12,,
2020-08-05,13,,
2020-08-06,12,,
2020-08-07,12,,
2020-08-08,13,,
2020-08-09,15,,
2020-08-10,15,,
2020-08-11,15,,
2020-08-12,13,,
2020-08-13,12,,
2020-08-14,13,,
2020-08-15,15,,
2020-08-16,15,,
2020-08-17,14,,
2020-08-18,11,,
2020-08-19,13,,
2020-08-20,12,,
2020-08-21,12,,
2020-08-22,13,,
2020-08-23,13,,
2020-08-24,14,,
2020-08-25,17,,
2020-08-26,17,,
2020-08-27,15,,
2020-08-28,15,,
2020-08-29,15,,
2020-08-30,16,,
2020-08-31,17,,
2020-09-01,17,,
2020-09-02,15,,
2020-09-03,13,,
2020-09-04,16,,
2020-09-05,18,,
2020-09-06,19,,
2020-09-07,17,,
2020-09-08,18,,
2020-09-09,17,,
2020-09-10,18,,
2020-09-11,17,,
2020-09-12,17,,
2020-09-13,16,,
2020-09-14,16,,
2020-09-15,17,,
2020-09-16,17,,
2020-09-17,17,,
2020-09-18,17,,
2020-09-19,16,,
2020-09-20,17,,
2020-09-21,18,,
2020-09-22,21,,
2020-09-23,22,,
2020-09-24,24,,
2020-09-25,27,,
2020-09-26,28,,
2020-09-27,29,,
2020-09-28,34,,
2020-09-29,33,,
2020-09-30,35,,
2020-10-01,34,,
2020-10-02,34,,
2020-10-03,37,,
2020-10-04,38,,
2020-10-05,39,,
2020-10-06,40,,
2020-10-07,42,,
2020-10-08,42,,
2020-10-09,43,,
2020-10-10,49,,
2020-10-11,52,,
2020-10-12,52,,
2020-10-13,51,,
2020-10-14,51,,
2020-10-15,54,,
2020-10-16,52,,
2020-10-17,55,,
2020-10-18,53,,
2020-10-19,52,,
2020-10-20,50,,
2020-10-21,49,,
2020-10-22,48,,
2020-10-23,44,,
2020-10-24,44,,
2020-10-25,46,,
2020-10-26,45,,
2020-10-27,41,,
2020-10-28,40,,
